,Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Event Duration,Event ID,Summary
0,Midwest Drought (Spring-Summer 2005),Drought,2005-03-01,2005-08-31,2433.6,1474.8,0.0,183,0,"Rather severe localized drought causes significant crop losses (especially for corn and soybeans) in the states of AR, IL, IA, IN, MO, OH, and WI."
1,Southeast Severe Weather (March 2005),Severe Storm,2005-03-24,2005-03-27,1410.0,865.0,0.0,3,1,"Severe storms cause widespread hail damage across numerous states including TX, AL, MS, GA, FL, NC and VA."
2,Hurricane Dennis (July 2005),Tropical Cyclone,2005-07-09,2005-07-11,4017.0,2495.0,15.0,2,2,"Category 3 hurricane makes landfall in western Florida panhandle resulting in storm surge and wind damage along the FL and AL coasts, along with scattered wind and flood damage in GA and MS."
3,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,2005-08-30,201297.5,125029.5,1833.0,5,3,"Category 3 hurricane initially impacts the U.S. as a Category 1 near Miami, FL, then as a strong Category 3 along the eastern LA-western MS coastlines, resulting in severe storm surge damage (maximum surge probably exceeded 30 feet) along the LA-MS-AL coasts, wind damage, and the failure of parts of the levee system in New Orleans. Inland effects included high winds and some flooding in the states of AL, MS, FL, TN, KY, IN, OH, and GA."
4,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,2005-09-24,29415.2,18500.1,119.0,4,4,"Category 3 hurricane hits Texas-Louisiana border coastal region, creating significant storm surge and wind damage along the coast, and some inland flooding in the FL panhandle, AL, MS, LA, AR, and TX. Prior to landfall, Rita reached the third lowest pressure (897 mb) ever recorded in the Atlantic basin."
5,Hurricane Wilma (October 2005),Tropical Cyclone,2005-10-24,2005-10-24,30020.0,19000.0,35.0,0,5,"Category 3 hurricane hits SW Florida resulting in strong damaging winds and major flooding across southeastern Florida. Prior to landfall, Wilma as a Category 5 recorded the lowest pressure (882 mb) ever recorded in the Atlantic basin."
6,Numerous Wildfires (2006),Wildfire,2006-01-01,2006-12-31,2332.8,1467.1,28.0,364,6,"Numerous wildfires driven by dry weather and high winds burned over 9.8 million acres, across the western half of the country including Alaska. This is the second highest annual total behind the 10.1 million acres burned in 2015 since record-keeping began in 1960. The most affected states were AK, AZ, CA, CO, FL, ID, MT, NM, NV, OK, OR, TX, WA, WY"
7,Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,2006-03-01,2006-08-31,9536.7,5997.9,0.0,183,7,"Rather severe drought affected crops especially during the spring-summer, centered over the Great Plains region with other areas affected across portions of the south -- including states of ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, MS, AL, GA, FL, MT, WY, CO, NM."
8,Severe Storms and Tornadoes (March 2006),Severe Storm,2006-03-08,2006-03-13,2113.3,1337.5,10.0,5,8,"Outbreak of tornadoes over portions of the midwest and south during a week-long period-affecting the states of AL, AR, KY, MS, TN, TX, IN, KS, MO, and OK."
9,Midwest/Southeast Tornadoes (April 6-8 2006),Severe Storm,2006-04-06,2006-04-08,2518.2,1603.8,10.0,2,9,"Severe weather and numerous tornadoes affecting the states of OK, KS, MO, NE, KY, OH, TN, IN, MS, GA, and AL on April 6-8 with 3 ""killer"" tornadoes in TN."
10,Midwest Tornadoes (April 2006),Severe Storm,2006-04-13,2006-04-16,3804.9,2423.5,27.0,3,10,"Tornadoes and severe weather cause significant damage in the states of IA, IL, IN, and WI. The state of Indiana was most affected with over one billion dollars in damage."
11,Northeast Flooding (June 2006),Flooding,2006-06-25,2006-06-28,2358.5,1521.6,20.0,3,11,"Severe flooding over portions of the northeast due to several weeks of heavy rainfall, affecting the states of NY, PA, DE, MD, NJ, and VA."
12,North Central Severe Weather and Tornadoes (August 2006),Severe Storm,2006-08-23,2006-08-24,1176.6,759.0,1.0,1,12,"Severe weather and tornadoes cause impacts across several north central states including Minnesota, Wisconsin, Indiana and Illinois."
13,Central Severe Weather (October 2006),Severe Storm,2006-10-02,2006-10-05,1371.3,879.0,1.0,3,13,"Severe storms cause high wind and hail damage across numerous states including OH, IL, IN, MI, MN and WI."
14,California Freeze (January 2007),Freeze,2007-01-11,2007-01-17,2184.0,1400.0,1.0,6,14,"Widespread agricultural freeze -- for nearly two weeks in January, overnight temperatures over a good portion of California dipped into the 20s, destroying numerous agricultural crops; with citrus, berry, and vegetable crops most affected."
15,Spring Freeze (April 2007),Freeze,2007-04-04,2007-04-10,3188.5,2044.0,0.0,6,15,"Widespread severe freeze over much of the east and midwest (AL, AR, GA, IA, IL, IN, KS, KY, MO, MS, NC, NE, OH, OK, SC, TN, VA, WV), causing significant losses in fruit crops, field crops (especially wheat), and the ornamental industry. Temperatures in the teens/20s accompanied by rather high winds nullified typical crop-protection systems."
16,East/South Severe Weather and Flooding (April 2007),Severe Storm,2007-04-13,2007-04-17,3836.9,2507.8,9.0,4,16,"Flooding, hail, tornadoes, and severe thunderstorms across numerous states (CT, DE, GA, LA, ME, MD, MA, MS, NH, NJ, NY, NC, PA, RI, SC, TX, VT, VA) in mid-April, including 3 ""killer"" tornadoes."
17,Western Wildfires (Summer 2007),Wildfire,2007-06-01,2007-08-31,4139.4,2741.3,12.0,91,17,"Continued drought conditions and high winds over much of the western U.S. (AK, AZ, CA, ID, UT, MT, NV, OR, WA) resulting in numerous wildfires; with national acreage burned exceeding 8.9 million acres (mainly in the west) and over 3,000 homes and structures destroyed in southern California alone."
18,Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007-06-01,2007-11-30,5519.7,3538.3,15.0,182,18,"Severe drought with periods of extreme heat over most of the southeast and portions of the Great Plains, Ohio Valley, and Great Lakes area, resulting in major reductions in crop yields, along with very low stream-flows and lake levels. Includes states of ND, SD, NE, KS, OK, TX, MN, WI, IA, MO, AR, LA, MS, AL, GA, NC, SC, FL, TN, VA, WV, KY, IN, IL, OH, MI, PA, NY."
19,U.S. Drought (2008),Drought,2008-01-01,2008-12-31,10444.7,7009.8,0.0,365,19,"Severe drought and heat caused agricultural losses across a large portion of the U.S. Record low lake levels also occurred in areas of the southeast. The states impacted include AL, AR, CA, CO, GA, ID, IN, KS, KY, MD, MN, MS, MT, NC, ND, NJ, NM, OH, OK, OR, SC, TN, TX, UT, VA, WA and WI."
20,Western Central and Northeast Severe Weather (January 2008),Severe Storm,2008-01-04,2008-01-09,1463.3,982.0,12.0,5,20,"Strong storm produces severe weather including hail, high winds and heavy precipitation from California to New York. Flash floods and landslides cause damage in California. In addition, more than 70 tornadoes were reported from Arkansas to Wisconsin, with the highest concentration of tornadoes in Missouri."
