,event_id,cik,asset,economic_flows,none,neutral,negative,positive,reimbursement,name,event_type,begin_date,cpi_adjusted_cost
0,5,1750,1,0,0,0,1,0,0,Hurricane Wilma (October 2005),Tropical Cyclone,2005-10-24,30020.0
1,75,2034,0,1,0,0,1,0,0,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,88453.9
2,138,2178,0,1,0,0,1,0,0,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000.0
3,195,2178,0,1,0,0,1,0,0,Northwest Central Eastern Winter Storm and Cold Wave (February 2021),Winter Storm,2021-02-10,27223.2
4,209,2178,0,1,0,0,1,0,0,Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,84608.1
5,280,2178,0,1,0,0,1,0,0,Hurricane Beryl (July 2024),Tropical Cyclone,2024-07-08,7219.0
6,282,2178,0,1,0,0,1,0,0,Hurricane Debby (August 2024),Tropical Cyclone,2024-08-05,2476.0
7,283,2178,0,1,0,0,1,0,0,Hurricane Francine (September 2024),Tropical Cyclone,2024-09-11,1291.0
8,284,2178,0,1,0,0,1,0,0,Hurricane Helene (September 2024),Tropical Cyclone,2024-09-24,78721.0
9,30,2178,0,1,0,0,1,0,0,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
10,228,2186,0,1,0,0,1,0,0,Hurricane Ian (September 2022),Tropical Cyclone,2022-09-28,119626.0
11,3,2491,1,1,1,1,1,0,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
12,4,2491,1,1,0,0,1,0,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
13,195,2969,0,1,0,0,1,1,0,Northwest Central Eastern Winter Storm and Cold Wave (February 2021),Winter Storm,2021-02-10,27223.2
14,2,2969,1,0,0,0,1,0,0,Hurricane Dennis (July 2005),Tropical Cyclone,2005-07-09,4017.0
15,28,2969,1,1,0,0,1,0,0,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,8635.7
16,3,2969,1,1,0,0,1,0,1,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
17,30,2969,1,1,0,0,1,0,0,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
18,4,2969,1,1,0,0,1,0,1,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
19,75,3116,1,1,0,0,1,0,0,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,88453.9
20,3,3133,0,1,0,0,1,0,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
21,1,3153,0,1,0,0,0,0,1,Southeast Severe Weather (March 2005),Severe Storm,2005-03-24,1410.0
22,121,3153,1,1,0,0,1,1,1,Hurricane Matthew (October 2016),Tropical Cyclone,2016-10-08,13100.0
23,122,3153,1,0,0,0,1,0,0,Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-20,1436.5
24,138,3153,0,1,0,0,1,0,0,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000.0
25,139,3153,1,1,0,0,1,1,1,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,64000.0
26,140,3153,0,1,0,0,1,1,0,Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,115200.0
27,156,3153,1,0,0,0,1,0,1,Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,31218.8
28,160,3153,1,0,0,0,0,0,1,Texas Hail Storm (March 2019),Severe Storm,2019-03-22,1903.4
29,161,3153,1,0,0,0,0,0,1,Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019-04-13,1540.0
30,171,3153,1,1,0,0,0,0,1,Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020-01-10,1401.8
31,172,3153,1,0,0,0,0,0,1,South East and Northeast Severe Weather (February 2020),Severe Storm,2020-02-05,1532.2
32,18,3153,0,1,0,0,1,0,0,Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007-06-01,5519.7
33,189,3153,1,0,0,0,1,0,0,Hurricane Sally (September 2020),Tropical Cyclone,2020-09-15,8801.5
34,19,3153,0,1,0,0,1,0,0,U.S. Drought (2008),Drought,2008-01-01,10444.7
35,191,3153,1,1,0,0,1,0,1,Hurricane Zeta (October 2020),Tropical Cyclone,2020-10-28,5266.0
36,195,3153,0,1,0,0,1,1,0,Northwest Central Eastern Winter Storm and Cold Wave (February 2021),Winter Storm,2021-02-10,27223.2
37,2,3153,1,1,0,0,1,1,1,Hurricane Dennis (July 2005),Tropical Cyclone,2005-07-09,4017.0
38,209,3153,1,1,0,0,1,0,1,Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,84608.1
39,217,3153,1,0,0,0,1,0,1,Southeast Tornado Outbreak (April 2022),Severe Storm,2022-04-04,1544.8
40,256,3153,1,0,0,0,0,0,1,Hurricane Idalia (August 2023),Tropical Cyclone,2023-08-29,3559.7
41,28,3153,0,1,0,0,0,1,0,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,8635.7
42,284,3153,1,0,0,0,1,0,1,Hurricane Helene (September 2024),Tropical Cyclone,2024-09-24,78721.0
43,3,3153,1,1,1,1,1,1,1,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
44,30,3153,1,1,0,0,1,0,1,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
45,4,3153,1,1,0,0,1,0,1,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
46,50,3153,1,1,1,1,1,0,0,Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011-04-04,3885.3
47,51,3153,1,1,1,1,1,1,0,Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011-04-08,3051.0
48,52,3153,1,1,1,1,1,1,0,Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011-04-14,2882.9
49,53,3153,0,1,1,1,1,0,0,Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,2011-04-19,1452.8
50,54,3153,1,1,1,1,1,1,0,Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011-04-25,14310.7
51,74,3153,1,1,1,1,1,0,1,Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,3786.1
52,8,3153,0,1,0,0,0,0,1,Severe Storms and Tornadoes (March 2006),Severe Storm,2006-03-08,2113.3
53,3,3333,1,1,0,1,1,0,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
54,4,3333,1,1,0,0,1,0,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
55,3,3370,0,1,0,0,1,0,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
56,4,3370,0,1,0,0,1,0,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
57,18,3453,0,1,0,0,1,0,0,Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007-06-01,5519.7
58,19,3453,0,1,0,0,1,0,0,U.S. Drought (2008),Drought,2008-01-01,10444.7
59,216,3453,0,1,0,0,1,0,0,Western Wildfires (Spring-Fall 2022),Wildfire,2022-04-01,3296.6
60,254,3453,0,1,0,0,1,0,0,Hawaii Firestorm (August 2023),Wildfire,2023-08-08,5665.0
61,139,3545,1,1,1,1,1,1,1,Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,64000.0
62,18,3545,0,1,0,0,1,0,0,Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007-06-01,5519.7
63,19,3545,1,1,0,0,1,0,0,U.S. Drought (2008),Drought,2008-01-01,10444.7
64,228,3545,1,1,1,1,1,1,1,Hurricane Ian (September 2022),Tropical Cyclone,2022-09-28,119626.0
65,285,3545,1,0,0,0,1,0,0,Hurricane Milton (October 2024),Tropical Cyclone,2024-10-09,34250.0
66,3,3545,1,1,1,0,1,1,1,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
67,4,3545,1,0,0,0,1,0,1,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
68,5,3545,1,1,0,1,1,0,1,Hurricane Wilma (October 2005),Tropical Cyclone,2005-10-24,30020.0
69,138,3570,1,1,0,1,1,0,0,Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,160000.0
70,188,3570,1,0,0,0,1,0,0,Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,28090.3
71,190,3570,1,0,0,0,1,0,0,Hurricane Delta (October 2020),Tropical Cyclone,2020-10-09,3469.3
72,195,3570,1,1,0,0,1,0,0,Northwest Central Eastern Winter Storm and Cold Wave (February 2021),Winter Storm,2021-02-10,27223.2
73,209,3570,1,0,0,0,1,0,0,Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,84608.1
74,210,3570,1,0,0,0,1,0,0,Hurricane Nicholas (September 2021),Tropical Cyclone,2021-09-14,1168.5
75,3,3570,1,1,0,1,1,0,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
76,30,3570,1,0,0,0,1,0,1,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
77,4,3570,1,1,0,1,1,0,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
78,40,3673,0,1,0,0,0,0,1,Northeast Winter Storm (February 2010),Winter Storm,2010-02-09,1192.8
79,3,3952,0,1,0,0,1,0,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
80,28,3982,0,1,0,0,1,0,0,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,8635.7
81,3,3982,0,1,0,0,1,0,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
82,30,3982,0,1,0,0,1,0,0,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
83,4,3982,0,1,0,0,0,1,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
84,16,4281,1,0,0,0,1,0,0,East/South Severe Weather and Flooding (April 2007),Severe Storm,2007-04-13,3836.9
85,3,4281,0,1,0,0,1,0,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
86,4,4281,1,1,0,0,1,0,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
87,75,4281,0,1,0,0,1,0,0,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,88453.9
88,3,4285,0,1,0,0,1,0,0,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
89,4,4285,0,1,0,0,1,0,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
90,209,4447,0,1,0,0,1,0,0,Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,84608.1
91,28,4447,1,1,0,0,1,0,0,Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,8635.7
92,280,4447,0,1,0,0,1,0,0,Hurricane Beryl (July 2024),Tropical Cyclone,2024-07-08,7219.0
93,3,4447,1,1,1,0,1,1,1,Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,201297.5
94,30,4447,1,1,0,0,1,0,0,Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,43198.4
95,4,4447,1,1,0,0,1,0,0,Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,29415.2
